Bus,busmap
CH36-220,CH0 0
CH37-380,CH0 0
CH38-220,CH0 0
CH39-220,CH0 0
CH4-220,CH0 0
CH40-220,CH0 0
CH41-380,CH0 0
CH42-220,CH0 0
CH43-220,CH0 0
CH44-220,CH0 0
CH46-220,CH0 0
CH47-220,CH0 0
CH5-220,CH0 0
CH50-220,CH0 0
CH52-220,CH0 0
CH53-225,CH0 0
CH56-220,CH0 0
CH57-225,CH0 0
CH58-220,CH0 0
CH6-220,CH0 0
CH60-225,CH0 0
CH7-220,CH0 0
CH9-220,CH0 0
relation/5378910-220,CH0 0
relation/7933294-380,CH0 0
relation/9310861-220,CH0 0
way/108257952-220,CH0 0
way/109037817-380,CH0 0
way/1105061707-380,CH0 0
way/111162936-400,CH0 0
way/11282314-220,CH0 0
way/122720993-220,CH0 0
way/127004407-400,CH0 0
way/132373704-220,CH0 0
way/1327084723-220,CH0 0
way/140873735-220,CH0 0
way/146225999-220,CH0 0
way/147557680-220,CH0 0
way/147714395-380,CH0 0
way/148015471-220,CH0 0
way/159527493-220,CH0 0
way/161853746-220,CH0 0
way/165513396-380,CH0 0
way/177392130-400,CH0 0
way/190819048-220,CH0 0
way/192677427-380,CH0 0
way/194258388-220,CH0 0
way/207991759-380,CH0 0
way/207993342-380,CH0 0
way/208780268-380,CH0 0
way/210568055-380,CH0 0
way/211907009-220,CH0 0
way/212722603-380,CH0 0
way/22899676-220,CH0 0
way/234983117-380,CH0 0
way/236819191-220,CH0 0
way/238138373-380,CH0 0
way/239937062-220,CH0 0
way/240575085-220,CH0 0
way/240959264-220,CH0 0
way/242269161-220,CH0 0
way/26843160-220,CH0 0
way/27107779-220,CH0 0
way/27435934-220,CH0 0
way/281799252-220,CH0 0
way/281800404-220,CH0 0
way/281804158-380,CH0 0
way/281809991-220,CH0 0
way/281815404-220,CH0 0
way/281822905-220,CH0 0
way/30350721-220,CH0 0
way/31308888-220,CH0 0
way/33271433-220,CH0 0
way/35002638-380,CH0 0
way/356292116-380,CH0 0
way/35840165-380,CH0 0
way/364949845-380,CH0 0
way/365556107-220,CH0 0
way/391576135-220,CH0 0
way/391577741-220,CH0 0
way/397960460-400,CH0 0
way/402053379-220,CH0 0
way/402055336-220,CH0 0
way/431234146-220,CH0 0
way/455120191-220,CH0 0
way/50319857-400,CH0 0
way/52738225-380,CH0 0
way/55698557-225,CH0 0
way/71500123-380,CH0 0
way/758943072-220,CH0 0
way/802058337-225,CH0 0
way/89405664-220,CH0 0
way/89977424-220,CH0 0
way/92798668-220,CH0 0
way/936521586-380,CH0 0
way/969811258-380,CH0 0
way/969819301-380,CH0 0
way/98648381-380,CH0 0
CZ10-400,CZ0 0
CZ12-400,CZ0 0
CZ13-400,CZ0 0
CZ2-400,CZ0 0
CZ4-220,CZ0 0
CZ5-400,CZ0 0
CZ6-400,CZ0 0
CZ9-400,CZ0 0
way/149306820-400,CZ0 0
way/174152948-400,CZ0 0
way/197827799-400,CZ0 0
way/26143409-400,CZ0 0
way/27849030-400,CZ0 0
way/27867392-400,CZ0 0
way/28099187-400,CZ0 0
way/28268556-400,CZ0 0
way/28348269-220,CZ0 0
way/28349754-400,CZ0 0
way/28382372-400,CZ0 0
way/28457258-400,CZ0 0
way/28468576-400,CZ0 0
way/28469397-400,CZ0 0
way/28470958-400,CZ0 0
way/28475691-400,CZ0 0
way/28476742-400,CZ0 0
way/28477054-400,CZ0 0
way/28478409-400,CZ0 0
way/28478418-220,CZ0 0
way/28479110-400,CZ0 0
way/28479829-400,CZ0 0
way/28622657-220,CZ0 0
way/28622793-400,CZ0 0
way/28624004-220,CZ0 0
way/28624204-400,CZ0 0
way/28624926-400,CZ0 0
way/28625556-400,CZ0 0
way/28626812-400,CZ0 0
way/28628927-400,CZ0 0
way/693112798-400,CZ0 0
DE10-380,DE0 0
DE100-380,DE0 2
DE102-380,DE0 2
DE104-380,DE0 5
DE105-220,DE0 2
DE106-220,DE0 2
DE107-380,DE0 2
DE109-220,DE0 2
DE11-380,DE0 0
DE110-380,DE0 2
DE113-220,DE0 2
DE114-380,DE0 2
DE118-220,DE0 2
DE119-380,DE0 3
DE121-380,DE0 5
DE122-220,DE0 2
DE124-380,DE0 2
DE125-380,DE0 2
DE126-220,DE0 2
DE127-380,DE0 2
DE129-220,DE0 2
DE13-380,DE0 0
DE131-220,DE0 2
DE132-220,DE0 2
DE133-380,DE0 2
DE134-380,DE0 1
DE135-220,DE0 2
DE136-380,DE0 2
DE137-380,DE0 2
DE138-380,DE0 2
DE139-380,DE0 2
DE14-380,DE0 0
DE140-380,DE0 2
DE144-380,DE0 2
DE145-220,DE0 2
DE147-380,DE0 2
DE148-380,DE0 2
DE15-220,DE0 7
DE150-380,DE0 2
DE152-380,DE0 8
DE153-380,DE0 2
DE154-380,DE0 2
DE155-380,DE0 2
DE156-380,DE0 8
DE157-380,DE0 1
DE158-380,DE0 1
DE159-380,DE0 8
DE16-220,DE0 3
DE161-380,DE0 8
DE162-380,DE0 8
DE165-380,DE0 8
DE168-380,DE0 8
DE169-220,DE0 8
DE17-380,DE0 7
DE170-380,DE0 2
DE172-380,DE0 2
DE173-220,DE0 2
DE174-220,DE0 8
DE175-220,DE0 2
DE176-220,DE0 8
DE177-220,DE0 8
DE178-380,DE0 8
DE179-220,DE0 8
DE18-380,DE0 3
DE180-220,DE0 8
DE181-380,DE0 8
DE182-380,DE0 8
DE183-220,DE0 8
DE184-380,DE0 6
DE185-380,DE0 6
DE186-380,DE0 8
DE187-380,DE0 8
DE188-380,DE0 6
DE189-380,DE0 6
DE19-380,DE0 3
DE190-380,DE0 6
DE191-380,DE0 6
DE192-380,DE0 6
DE193-380,DE0 6
DE194-220,DE0 8
DE195-380,DE0 6
DE196-380,DE0 6
DE197-380,DE0 6
DE198-380,DE0 6
DE199-380,DE0 6
DE201-220,DE0 4
DE202-380,DE0 6
DE203-220,DE0 4
DE204-220,DE0 4
DE205-380,DE0 6
DE206-220,DE0 4
DE207-380,DE0 6
DE208-380,DE0 6
DE209-380,DE0 6
DE21-220,DE0 3
DE211-220,DE0 4
DE212-220,DE0 4
DE213-380,DE0 6
DE22-380,DE0 3
