Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2030,CO2 pipeline,18.26497329058204,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2030,CO2 pipeline,195.6088527884854,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.0005544157060248207,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2030,CO2 pipeline,0.0012094254690400313,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2030,CO2 pipeline,154.109861000033,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2030,CO2 pipeline,112.6918143962664,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.002087185337860718,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.0005435389199886385,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2030,CO2 pipeline,148.40196635309968,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2030,CO2 pipeline,44.75006323183382,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2030,CO2 pipeline,16.360896719847926,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.000615290548953279,0.0,inf,True,True
H2 pipeline AL0 -> GR5-2030,H2 pipeline,0.017157584381375594,0.0,inf,True,True
H2 pipeline AL0 -> ME0-2030,H2 pipeline,1.129971501350497,0.0,inf,True,True
H2 pipeline AL0 -> MK0-2030,H2 pipeline,0.015377427304301175,0.0,inf,True,True
H2 pipeline AL0 -> XK-2030,H2 pipeline,0.021268547879750507,0.0,inf,True,True
H2 pipeline AT -> CH0-2030,H2 pipeline,0.0044419895843271886,0.0,inf,True,True
H2 pipeline AT -> CZ0-2030,H2 pipeline,738.826126313278,0.0,inf,True,True
H2 pipeline AT -> DE1-2030,H2 pipeline,0.03467828277911829,0.0,inf,True,True
H2 pipeline AT -> HU-2030,H2 pipeline,0.00855929076426728,0.0,inf,True,True
H2 pipeline AT -> SI0-2030,H2 pipeline,332.2110668597933,0.0,inf,True,True
H2 pipeline BA -> HR-2030,H2 pipeline,7.989341702801168,0.0,inf,True,True
H2 pipeline BA -> ME0-2030,H2 pipeline,1.1350012238775509,0.0,inf,True,True
H2 pipeline BA -> RS-2030,H2 pipeline,0.008948758002844483,0.0,inf,True,True
H2 pipeline BE1+1 -> FRE-2030,H2 pipeline,0.019139304058564083,0.0,inf,True,True
H2 pipeline BE1+1 -> GBJ-2030,H2 pipeline,2404.811791690468,0.0,inf,True,True
H2 pipeline BE3 -> FRF-2030,H2 pipeline,0.2235967387502995,0.0,inf,True,True
H2 pipeline BE3 -> LU0-2030,H2 pipeline,0.07949018130619709,0.0,inf,True,True
H2 pipeline BG -> MK0-2030,H2 pipeline,0.00582191904368171,0.0,inf,True,True
H2 pipeline BG -> RO-2030,H2 pipeline,0.033736265156197466,0.0,inf,True,True
H2 pipeline BG -> RS-2030,H2 pipeline,183.76055794839345,0.0,inf,True,True
H2 pipeline CH0 -> DE1-2030,H2 pipeline,0.6941186033574689,0.0,inf,True,True
H2 pipeline CH0 -> FRC-2030,H2 pipeline,1.1575815621667853,0.0,inf,True,True
H2 pipeline CH0 -> FRF-2030,H2 pipeline,21.869113599895,0.0,inf,True,True
H2 pipeline CH0 -> FRK-2030,H2 pipeline,0.0137169375043714,0.0,inf,True,True
H2 pipeline CH0 -> ITC-2030,H2 pipeline,17.985114287452273,0.0,inf,True,True
H2 pipeline CZ0 -> PL2-2030,H2 pipeline,0.011633971036647029,0.0,inf,True,True
H2 pipeline CZ0 -> PL5-2030,H2 pipeline,0.008780611815576461,0.0,inf,True,True
H2 pipeline DE1 -> DE2-2030,H2 pipeline,0.02322507395773781,0.0,inf,True,True
