Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2030,CO2 pipeline,18.264885891939556,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2030,CO2 pipeline,50.267338439363485,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.00015849447784335513,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2030,CO2 pipeline,0.00029282477645127395,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.02229406555545884,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.000697094493499509,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.0002536205635524689,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.0001655841286005912,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2030,CO2 pipeline,123.85113923778007,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2030,CO2 pipeline,44.74910602168484,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2030,CO2 pipeline,0.00026550313878472183,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2030,CO2 pipeline,0.00019895163639743258,0.0,inf,True,True
H2 pipeline AL0 -> GR5-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> ME0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> MK0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> XK-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> CH0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> CZ0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> DE1-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> HU-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> SI0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> HR-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> ME0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> RS-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE1+1 -> FRE-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE1+1 -> GBJ-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE3 -> FRF-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE3 -> LU0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> MK0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> RO-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> RS-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> DE1-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRC-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRF-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRK-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> ITC-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CZ0 -> PL2-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CZ0 -> PL5-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE1 -> DE2-2030,H2 pipeline,0.004674487895187921,0.0,inf,True,True
H2 pipeline DE1 -> DE9-2030,H2 pipeline,0.0012743721049892534,0.0,inf,True,True
H2 pipeline DE1 -> DEA-2030,H2 pipeline,0.0017302021254066084,0.0,inf,True,True
H2 pipeline DE1 -> DEF-2030,H2 pipeline,0.0010150584198967694,0.0,inf,True,True
H2 pipeline DE2 -> DE8-2030,H2 pipeline,0.0010846812541451525,0.0,inf,True,True
H2 pipeline DE2 -> DED-2030,H2 pipeline,0.0022560469599724946,0.0,inf,True,True
H2 pipeline DE2 -> DEE-2030,H2 pipeline,0.001853553840172246,0.0,inf,True,True
H2 pipeline DE2 -> DEF-2030,H2 pipeline,0.0012467973662743503,0.0,inf,True,True
H2 pipeline DE2 -> DEG-2030,H2 pipeline,0.0025616934731242966,0.0,inf,True,True
H2 pipeline DE4 -> DEE-2030,H2 pipeline,0.005019001398712463,0.0,inf,True,True
H2 pipeline DE7 -> DE9-2030,H2 pipeline,0.003958376865917032,0.0,inf,True,True
H2 pipeline DE7 -> DEA-2030,H2 pipeline,0.006014020564960494,0.0,inf,True,True
H2 pipeline DE7 -> DEG-2030,H2 pipeline,0.005378987652820844,0.0,inf,True,True
H2 pipeline DE8 -> DEE-2030,H2 pipeline,0.002782018087734929,0.0,inf,True,True
H2 pipeline DE8 -> DEF-2030,H2 pipeline,614.6634087213306,0.0,inf,True,True
H2 pipeline DE8 -> DK0-2030,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE8 -> SE2-2030,H2 pipeline,0.0,0.0,inf,False,True
