Link,carrier,p_nom_opt,p_nom,p_nom_max,p_nom_extendable,active
BG offshore 0 co2 stored pipeline-2040,CO2 pipeline,17.33542132252689,0.0,inf,True,True
GBD offshore 0 co2 stored pipeline-2040,CO2 pipeline,4893.0079844220745,0.0,inf,True,True
GBE offshore 0 co2 stored pipeline-2040,CO2 pipeline,641.6783169444274,0.0,inf,True,True
GBE offshore 1 co2 stored pipeline-2040,CO2 pipeline,711.2569616349915,0.0,inf,True,True
GBF offshore 0 co2 stored pipeline-2040,CO2 pipeline,1602.0586622722185,0.0,inf,True,True
GBH offshore 0 co2 stored pipeline-2040,CO2 pipeline,12484.117352583697,0.0,inf,True,True
GBL offshore 0 co2 stored pipeline-2040,CO2 pipeline,134.5626159083366,0.0,inf,True,True
GBM offshore 0 co2 stored pipeline-2040,CO2 pipeline,13189.538416204661,0.0,inf,True,True
GR5 offshore 0 co2 stored pipeline-2040,CO2 pipeline,24.550980581023765,0.0,inf,True,True
NL3 offshore 0 co2 stored pipeline-2040,CO2 pipeline,0.0021712846688663337,0.0,inf,True,True
NL3 offshore 1 co2 stored pipeline-2040,CO2 pipeline,16.360833183975892,0.0,inf,True,True
NO0A offshore 0 co2 stored pipeline-2040,CO2 pipeline,410.1416411825836,0.0,inf,True,True
H2 pipeline AL0 -> GR5-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> ME0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> MK0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AL0 -> XK-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> CH0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> CZ0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> DE1-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> HU-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline AT -> SI0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> HR-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> ME0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BA -> RS-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE1+1 -> FRE-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE1+1 -> GBJ-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE3 -> FRF-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BE3 -> LU0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> MK0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> RO-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline BG -> RS-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> DE1-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRC-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRF-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> FRK-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CH0 -> ITC-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CZ0 -> PL2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline CZ0 -> PL5-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE1 -> DE2-2040,H2 pipeline,0.05130176215634108,0.0,inf,True,True
H2 pipeline DE1 -> DE9-2040,H2 pipeline,0.004721350657531161,0.0,inf,True,True
H2 pipeline DE1 -> DEA-2040,H2 pipeline,0.004717881040173944,0.0,inf,True,True
H2 pipeline DE1 -> DEF-2040,H2 pipeline,0.0031356659117206085,0.0,inf,True,True
H2 pipeline DE2 -> DE8-2040,H2 pipeline,0.004245986798048919,0.0,inf,True,True
H2 pipeline DE2 -> DED-2040,H2 pipeline,0.014336437464380763,0.0,inf,True,True
H2 pipeline DE2 -> DEE-2040,H2 pipeline,0.025455593124364493,0.0,inf,True,True
H2 pipeline DE2 -> DEF-2040,H2 pipeline,0.00761056521487256,0.0,inf,True,True
H2 pipeline DE2 -> DEG-2040,H2 pipeline,0.021324005258571713,0.0,inf,True,True
H2 pipeline DE4 -> DEE-2040,H2 pipeline,0.03428786439677178,0.0,inf,True,True
H2 pipeline DE7 -> DE9-2040,H2 pipeline,1284.9260118083464,0.0,inf,True,True
H2 pipeline DE7 -> DEA-2040,H2 pipeline,0.02192287090357923,0.0,inf,True,True
H2 pipeline DE7 -> DEG-2040,H2 pipeline,0.0352989852229502,0.0,inf,True,True
H2 pipeline DE8 -> DEE-2040,H2 pipeline,0.007428447515990525,0.0,inf,True,True
H2 pipeline DE8 -> DEF-2040,H2 pipeline,8342.522512570924,0.0,inf,True,True
H2 pipeline DE8 -> DK0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE8 -> SE2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DE9 -> DED-2040,H2 pipeline,5632.939904072397,0.0,inf,True,True
H2 pipeline DE9 -> DEE-2040,H2 pipeline,42.357989565588326,0.0,inf,True,True
H2 pipeline DE9 -> GBJ-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEA -> DEF-2040,H2 pipeline,0.006928922901635333,0.0,inf,True,True
H2 pipeline DEA -> FRF-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEA -> NL2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEB -> LU0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DED -> DEG-2040,H2 pipeline,0.018700488269971713,0.0,inf,True,True
H2 pipeline DED -> PL5-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEE -> DEG-2040,H2 pipeline,0.0583074199925183,0.0,inf,True,True
H2 pipeline DEF -> NO09-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DEF -> SE2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> GBF-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> NL1-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> NO09-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline DK0 -> SE2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline EE0 -> FI1C-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ES1 -> PT1-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ES2 -> FRI-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ES2 -> FRJ-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ES4 -> ES5-2040,H2 pipeline,0.00289678788673793,0.0,inf,True,True
H2 pipeline ES5 -> FRJ-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ES6 -> PT1-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FI19 -> FI1B-2040,H2 pipeline,0.00896553306889351,0.0,inf,True,True
H2 pipeline FI19 -> SE1-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FI19 -> SE3-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FI1C -> FI1D-2040,H2 pipeline,0.002253281937539896,0.0,inf,True,True
H2 pipeline FI1D -> NO07-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FR1 -> FRB-2040,H2 pipeline,0.03662959376049742,0.0,inf,True,True
H2 pipeline FR1 -> FRC-2040,H2 pipeline,3440.3724210069577,0.0,inf,True,True
H2 pipeline FR1 -> FRD-2040,H2 pipeline,5914.642228060096,0.0,inf,True,True
H2 pipeline FR1 -> FRF-2040,H2 pipeline,1009.9605185190964,0.0,inf,True,True
H2 pipeline FRB -> FRC-2040,H2 pipeline,5218.4452066197555,0.0,inf,True,True
H2 pipeline FRB -> FRG-2040,H2 pipeline,5220.03997398799,0.0,inf,True,True
H2 pipeline FRB -> FRI-2040,H2 pipeline,0.01798711983399047,0.0,inf,True,True
H2 pipeline FRB -> FRJ-2040,H2 pipeline,0.01683062034589118,0.0,inf,True,True
H2 pipeline FRB -> FRK-2040,H2 pipeline,1.5155598590343127,0.0,inf,True,True
H2 pipeline FRD -> FRE-2040,H2 pipeline,0.05880403651160679,0.0,inf,True,True
H2 pipeline FRD -> FRG-2040,H2 pipeline,0.025895177251665884,0.0,inf,True,True
H2 pipeline FRD -> FRH-2040,H2 pipeline,1823.3865306251396,0.0,inf,True,True
H2 pipeline FRD -> GBJ-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FRE -> GBJ-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FRF -> LU0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FRG -> FRH-2040,H2 pipeline,5551.417765620081,0.0,inf,True,True
H2 pipeline FRG -> FRI-2040,H2 pipeline,331.3273433860114,0.0,inf,True,True
H2 pipeline FRH -> IE0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FRI -> FRJ-2040,H2 pipeline,329.2230585733808,0.0,inf,True,True
H2 pipeline FRI -> FRK-2040,H2 pipeline,0.013369519694999624,0.0,inf,True,True
H2 pipeline FRJ -> FRK-2040,H2 pipeline,0.01250734711433289,0.0,inf,True,True
H2 pipeline FRJ -> FRL-2040,H2 pipeline,554.5913206953213,0.0,inf,True,True
H2 pipeline FRK -> ITC-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FRL -> ITC-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FRM -> ITG2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline FRM -> ITI-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline GBC -> GBD-2040,H2 pipeline,390.909663357401,0.0,inf,True,True
H2 pipeline GBC -> GBE-2040,H2 pipeline,498.34726846349656,0.0,inf,True,True
H2 pipeline GBC -> GBM-2040,H2 pipeline,145.80764674511352,0.0,inf,True,True
H2 pipeline GBC -> NO0A-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline GBD -> GBE-2040,H2 pipeline,27.933282126191806,0.0,inf,True,True
H2 pipeline GBD -> GBG-2040,H2 pipeline,14.029714594620895,0.0,inf,True,True
H2 pipeline GBD -> GBL-2040,H2 pipeline,354.57007582067826,0.0,inf,True,True
H2 pipeline GBD -> GBM-2040,H2 pipeline,540.5577691303221,0.0,inf,True,True
H2 pipeline GBE -> GBF-2040,H2 pipeline,282.36120780556007,0.0,inf,True,True
H2 pipeline GBE -> GBH-2040,H2 pipeline,0.26581147420553103,0.0,inf,True,True
H2 pipeline GBF -> GBG-2040,H2 pipeline,42.659448847857746,0.0,inf,True,True
H2 pipeline GBF -> GBH-2040,H2 pipeline,351.35286674940676,0.0,inf,True,True
H2 pipeline GBF -> GBJ-2040,H2 pipeline,0.04429418625657588,0.0,inf,True,True
H2 pipeline GBG -> GBK-2040,H2 pipeline,0.02058355297766442,0.0,inf,True,True
H2 pipeline GBG -> GBL-2040,H2 pipeline,27.58784083911165,0.0,inf,True,True
H2 pipeline GBH -> GBJ-2040,H2 pipeline,287.0253821122052,0.0,inf,True,True
H2 pipeline GBJ -> GBK-2040,H2 pipeline,1476.8066757687045,0.0,inf,True,True
H2 pipeline GBJ -> NL3-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline GBK -> GBL-2040,H2 pipeline,630.9218100866512,0.0,inf,True,True
H2 pipeline GBL -> GBM-2040,H2 pipeline,0.011176876236368717,0.0,inf,True,True
H2 pipeline GBL -> IE0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline GBM -> GBN-2040,H2 pipeline,535.0468345169803,0.0,inf,True,True
H2 pipeline GBN -> IE0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline GR5 -> ITF-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline GR5 -> MK0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline HR -> HU-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline HR -> RS-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline HR -> SI0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline HU -> RO-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline HU -> RS-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline HU -> SI0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline HU -> SK0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ITC -> ITH-2040,H2 pipeline,1.474365842782755,0.0,inf,True,True
H2 pipeline ITC -> ITI-2040,H2 pipeline,0.05120187483389142,0.0,inf,True,True
H2 pipeline ITF -> ME0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ITG2 -> ITI-2040,H2 pipeline,1556.2985739007518,0.0,inf,True,True
H2 pipeline ITH -> SI0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline LT0 -> PL6-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline LT0 -> SE2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ME0 -> RS-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline ME0 -> XK-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline MK0 -> RS-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline MK0 -> XK-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline NL1 -> NO09-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline NL2 -> NL3-2040,H2 pipeline,3871.0368970940985,0.0,inf,True,True
H2 pipeline NO02 -> NO08-2040,H2 pipeline,0.055221480323214396,0.0,inf,True,True
H2 pipeline NO02 -> NO0A-2040,H2 pipeline,62.958448205051916,0.0,inf,True,True
H2 pipeline NO06 -> NO07-2040,H2 pipeline,86.85898248740916,0.0,inf,True,True
H2 pipeline NO06 -> NO0A-2040,H2 pipeline,723.1904001635634,0.0,inf,True,True
H2 pipeline NO06 -> SE3-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline NO07 -> SE3-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline NO08 -> NO09-2040,H2 pipeline,0.02102882211284445,0.0,inf,True,True
H2 pipeline NO08 -> NO0A-2040,H2 pipeline,127.39468055038577,0.0,inf,True,True
H2 pipeline NO08 -> SE2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline NO08 -> SE3-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline NO09 -> NO0A-2040,H2 pipeline,688.1648204347406,0.0,inf,True,True
H2 pipeline PL2 -> PL5-2040,H2 pipeline,0.17381490471023872,0.0,inf,True,True
H2 pipeline PL2 -> PL7-2040,H2 pipeline,0.23388422391709354,0.0,inf,True,True
H2 pipeline PL2 -> PL8-2040,H2 pipeline,504.026616766908,0.0,inf,True,True
H2 pipeline PL4 -> PL5-2040,H2 pipeline,1418.5497233535884,0.0,inf,True,True
H2 pipeline PL4 -> PL7-2040,H2 pipeline,0.03238265774093109,0.0,inf,True,True
H2 pipeline PL4 -> PL9-2040,H2 pipeline,0.004564128941139809,0.0,inf,True,True
H2 pipeline PL6 -> PL8-2040,H2 pipeline,0.00390643168527665,0.0,inf,True,True
H2 pipeline PL6 -> SE2-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline PL7 -> PL8-2040,H2 pipeline,0.009738933356578836,0.0,inf,True,True
H2 pipeline PL7 -> PL9-2040,H2 pipeline,0.2654751444952852,0.0,inf,True,True
H2 pipeline PL8 -> SK0-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline RO -> RS-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline RS -> XK-2040,H2 pipeline,0.0,0.0,inf,False,True
H2 pipeline SE1 -> SE2-2040,H2 pipeline,1861.092039720758,0.0,inf,True,True
H2 pipeline SE1 -> SE3-2040,H2 pipeline,0.003347268976683334,0.0,inf,True,True
H2 pipeline SE2 -> SE3-2040,H2 pipeline,0.00234540843260622,0.0,inf,True,True
PCI-10.1.3,H2 pipeline,6261.0,6261.0,inf,False,True
PCI-10.1.2,H2 pipeline,7001.0,7001.0,inf,False,True
PCI-10.4-01,H2 pipeline,6267.0,6267.0,inf,False,True
PCI-9.5-01,H2 pipeline,3805.0,3805.0,inf,False,True
PCI-9.6-01,H2 pipeline,4003.0,4003.0,inf,False,True
PCI-9.5-02,H2 pipeline,3805.0,3805.0,inf,False,True
PCI-9.4-01,H2 pipeline,3778.0,3778.0,inf,False,True
PCI-9.5-03,H2 pipeline,3805.0,3805.0,inf,False,True
PCI-10.3.1-01,H2 pipeline,3424.0,3424.0,inf,False,True
PCI-10.2.1+1,H2 pipeline,12262.0,12262.0,inf,False,True
PCI-10.2.1,H2 pipeline,5995.0,5995.0,inf,False,True
PCI-10.4-02,H2 pipeline,6267.0,6267.0,inf,False,True
PCI-9.4-02,H2 pipeline,3778.0,3778.0,inf,False,True
PCI-9.4-03,H2 pipeline,3778.0,3778.0,inf,False,True
PCI-9.2.1,H2 pipeline,507.0,507.0,inf,False,True
PCI-9.1.6-01,H2 pipeline,8057.0,8057.0,inf,False,True
PCI-10.2.2-01,H2 pipeline,10056.0,10056.0,inf,False,True
PCI-10.2.2-02,H2 pipeline,10056.0,10056.0,inf,False,True
PCI-11.2-01,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-9.1.6+1-01,H2 pipeline,11835.0,11835.0,inf,False,True
PCI-11.3-01,H2 pipeline,20546.0,20546.0,inf,False,True
PCI-9.7.1+1,H2 pipeline,3532.0,3532.0,inf,False,True
PCI-9.9.1,H2 pipeline,10146.0,10146.0,inf,False,True
PCI-9.6+1-01,H2 pipeline,5297.0,5297.0,inf,False,True
PCI-9.25-01,H2 pipeline,15219.0,15219.0,inf,False,True
PCI-9.4+1,H2 pipeline,13536.0,13536.0,inf,False,True
PCI-9.7.3,H2 pipeline,9758.0,9758.0,inf,False,True
PCI-9.1.6-02,H2 pipeline,8057.0,8057.0,inf,False,True
PCI-9.1.6+1-02,H2 pipeline,8818.0,8818.0,inf,False,True
PCI-9.9.2,H2 pipeline,2489.0,2489.0,inf,False,True
PCI-11.2-02,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-11.2-03,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-9.1.3-01,H2 pipeline,13429.0,13429.0,inf,False,True
PCI-9.1.3-02,H2 pipeline,13429.0,13429.0,inf,False,True
PCI-9.1.3-03,H2 pipeline,13429.0,13429.0,inf,False,True
PCI-9.1.3-04,H2 pipeline,13429.0,13429.0,inf,False,True
PCI-9.1.3-05,H2 pipeline,13429.0,13429.0,inf,False,True
PCI-9.1.2,H2 pipeline,3357.0,3357.0,inf,False,True
PCI-9.1.3-06,H2 pipeline,13429.0,13429.0,inf,False,True
PCI-9.1.4,H2 pipeline,8952.0,8952.0,inf,False,True
PCI-11.2-04,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-11.1-01,H2 pipeline,18601.0,18601.0,inf,False,True
PCI-11.2-05,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-11.3-02,H2 pipeline,20546.0,20546.0,inf,False,True
PCI-11.1-02,H2 pipeline,18601.0,18601.0,inf,False,True
PCI-9.3-01,H2 pipeline,5073.0,5073.0,inf,False,True
PCI-9.1.5-01,H2 pipeline,8952.0,8952.0,inf,False,True
PCI-9.1.5-02,H2 pipeline,8952.0,8952.0,inf,False,True
PCI-9.3-02,H2 pipeline,5073.0,5073.0,inf,False,True
PCI-9.1.5-03,H2 pipeline,8952.0,8952.0,inf,False,True
PCI-10.3.1-02,H2 pipeline,3424.0,3424.0,inf,False,True
PCI-10.3.1-03,H2 pipeline,3424.0,3424.0,inf,False,True
PCI-10.1.1-01,H2 pipeline,18601.0,18601.0,inf,False,True
PCI-10.1.1-02,H2 pipeline,18601.0,18601.0,inf,False,True
PCI-10.1.1-03,H2 pipeline,18601.0,18601.0,inf,False,True
PCI-11.2-06,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-11.2-07,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-9.6-02,H2 pipeline,4003.0,4003.0,inf,False,True
PCI-9.6-03,H2 pipeline,4003.0,4003.0,inf,False,True
PCI-9.6+1-02,H2 pipeline,13761.0,13761.0,inf,False,True
PCI-9.25-02,H2 pipeline,15219.0,15219.0,inf,False,True
PCI-11.3-03,H2 pipeline,20546.0,20546.0,inf,False,True
PCI-11.3-04,H2 pipeline,20546.0,20546.0,inf,False,True
PCI-11.3-05,H2 pipeline,20546.0,20546.0,inf,False,True
PCI-11.2-08,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-11.2-10,H2 pipeline,8281.0,8281.0,inf,False,True
PCI-11.2-11,H2 pipeline,8281.0,8281.0,inf,False,True
CO2 pipeline AL0 -> GR5-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AL0 -> ME0-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AL0 -> MK0-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AL0 -> XK-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AT -> CH0-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AT -> CZ0-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AT -> DE1-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AT -> DE2-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AT -> HU-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AT -> ITH-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline AT -> SI0-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline BA -> HR-2040,CO2 pipeline,0.0,0.0,inf,False,True
CO2 pipeline BA -> ME0-2040,CO2 pipeline,0.0,0.0,inf,False,True
